,jobId,state
398,38899756,Western Australia
399,38899771,New South Wales
400,38906778,New South Wales
401,38906779,New South Wales
402,38908453,New South Wales
403,38909696,Victoria
404,38909870,Victoria
405,38911655,New South Wales
406,38915192,New South Wales
407,38915484,New South Wales
408,38915564,Victoria
409,38916319,New South Wales
410,38916532,Victoria
411,38917657,South Australia
412,38919426,New South Wales
413,38919636,South Australia
414,38920351,Victoria
415,38921056,Victoria
416,38921061,Victoria
417,38921156,New South Wales
418,38921171,New South Wales
419,38922397,Victoria
420,38924510,Victoria
421,38924593,New South Wales
422,38930195,Victoria
423,38931338,New South Wales
424,38931350,New South Wales
425,38933178,Victoria
426,38933283,New South Wales
427,38935316,New South Wales
428,38938066,New South Wales
429,38941227,New South Wales
430,38941355,Australian Capital Territory
431,38941420,New South Wales
432,38942546,Victoria
433,38942590,Victoria
434,38950066,New South Wales
435,38950559,New South Wales
436,38951001,New South Wales
437,38951002,New South Wales
438,38953775,Victoria
439,38953810,Victoria
440,38961336,New South Wales
441,38964236,Victoria
442,38964237,Victoria
443,38964238,Victoria
444,38965296,Australian Capital Territory
445,38965720,Victoria
446,38965945,Victoria
447,38966918,Victoria
448,38971245,New South Wales
449,38979354,New South Wales
450,38985921,New South Wales
451,38986941,New South Wales
452,38989528,New South Wales
453,38989654,New South Wales
454,38991456,New South Wales
455,38992181,New South Wales
456,38993976,Queensland
457,38994117,New South Wales
458,38994813,Victoria
459,38995013,Victoria
460,38996533,Victoria
461,38996877,New South Wales
462,39001289,Victoria
463,39003239,Queensland
464,39004454,New South Wales
465,39009648,New South Wales
466,39009709,New South Wales
467,39009765,New South Wales
468,39010229,Victoria
469,39012210,New South Wales
470,39012654,Queensland
471,39019961,Victoria
472,39022830,New South Wales
473,39023094,New South Wales
474,39024726,New South Wales
475,39026098,Victoria
476,39029403,Victoria
477,39030781,New South Wales
478,39030873,New South Wales
479,39033721,Victoria
480,39033790,New South Wales
481,39036850,New South Wales
482,39046542,Australian Capital Territory
483,39046572,Australian Capital Territory
484,39051862,New South Wales
485,39054569,New South Wales
486,39055489,New South Wales
487,39057225,Victoria
488,39057470,New South Wales
489,39061543,Queensland
490,39061551,Queensland
491,39069504,Victoria
492,39071671,New South Wales
493,39071858,Victoria
494,39074357,Victoria
495,39075857,New South Wales
496,39083043,New South Wales
497,39084774,New South Wales
498,39086749,New South Wales
499,39088044,South Australia
500,39088240,New South Wales
501,39092609,New South Wales
502,39096402,South Australia
503,39099697,New South Wales
504,39102215,New South Wales
505,39102266,Western Australia
506,39103908,New South Wales
507,39104457,New South Wales
508,39111458,New South Wales
509,39111682,New South Wales
510,39112990,Victoria
511,39116037,New South Wales
512,39116166,Victoria
513,39116453,New South Wales
514,39118700,Victoria
515,39125717,Victoria
516,39126288,New South Wales
517,39126609,New South Wales
518,39134074,New South Wales
519,39140141,New South Wales
520,39140204,Australian Capital Territory
521,39140229,Australian Capital Territory
522,39140305,New South Wales
